,,,,,,
,,,,,,
,,,,,,
Sliti Naim,Mil. Off,Dijon,"5,1",3,10,66 %
,,,,,,
Prince,Def. Cen.,Amiens,"4,8",1,10,79 %
,,,,,,
Capelle Pierrick,Mil. Off,Angers,"5,2",3,10,55 %
,,,,,,
Mitrovic Stefan,Def. Cen.,Strasbourg,5,0,10,89 %
,,,,,,
Pablo,Def. Cen.,Bordeaux,"5,4",1,10,66 %
,,,,,,
Foket Thomas,Def. Lat.,Reims,"4,9",0,10,84 %
,,,,,,
Poundjé Maxime,Def. Lat.,Bordeaux,5,0,10,74 %
,,,,,,
Kimpembe Presnel,Def. Cen.,Paris,"5,1",0,10,61 %
,,,,,,
Sylla Issiaga,Def. Lat.,Toulouse,"4,8",2,10,61 %
,,,,,,
Cyprien Wylan,Mil. Off,Nice,"5,5",4,10,71 %
,,,,,,
Walter Remi,Mil. Def.,Nice,"5,2",2,10,21 %
,,,,,,
Gradit Jonathan,Def. Lat.,Caen,"4,8",0,10,61 %
,,,,,,
Crivelli Enzo,Attaquant,Caen,"4,4",6,10,74 %
,,,,,,
Bensebaini Ramy,Def. Cen.,Rennes,5,1,10,63 %
,,,,,,
Doumbia Moussa,Mil. Off,Reims,"5,1",3,10,47 %
,,,,,,
Yambéré Cédric,Def. Cen.,Dijon,"4,8",0,10,79 %
,,,,,,
Makengo Jean-Victor,Mil. Def.,Nice,"4,8",1,10,29 %
,,,,,,
Guilbert Frederic,Def. Lat.,Caen,"4,9",1,10,87 %
,,,,,,
Thuram Marcus,Attaquant,Guingamp,"4,8",9,10,84 %
,,,,,,
Palencia Sergi,Def. Lat.,Bordeaux,"4,9",0,10,58 %
,,,,,,
Jovanovic Vukasin,Def. Cen.,Bordeaux,"5,4",0,10,39 %
,,,,,,
Amian Kelvin,Def. Lat.,Toulouse,"4,8",0,10,84 %
,,,,,,
Caci Anthony,Mil. Def.,Strasbourg,"4,9",0,10,68 %
,,,,,,
Merghem Mehdi,Mil. Off,Guingamp,"4,8",0,10,24 %
,,,,,,
Badiashile Mukinayi Benoit,Def. Cen.,Monaco,"4,8",1,10,53 %
,,,,,,
